# Source: https://jwilson.coe.uga.edu/EMAT6680Fa2014/Gieseking/Exploration%2012/Newton's%20Law%20of%20Cooling.htm
# Author: Elizabeth Gieseking
# Title: Newton’s Law of Cooling, An Experimental Investigation
# Data retrieved on: 2024-09-30 
Time (min),100 ml Temperature °C,300 ml Temperature °C,800 ml Temperature °C
0,100,100,100
1,95,95,96
2,82,91,95
3,79,87,92
4,74,84,90
5,70,81,88
6,67,78,85
7,65,76,83
8,61,73,80
9,59,71,78
10,57,70,76
11,56,68,75
12,54,66,74
13,52,64,73
14,51,63,71
15,50,61,70
16,49,60,68
17,48,58,66
18,47,58,66
19,45,56,65
20,45,55,63
21,44,55,62
22,43,54,61
23,42,53,60
24,42,52,60
25,41,51,59
26,41,50,58
27,40,49,56
28,39,48,56
29,38,48,55
30,38,47,54
31,38,46,53
32,38,46,52
33,37,45,52
34,36,45,51
35,36,45,50
40,34,42,47
45,33,40,45
50,31,38,43
55,30,37,41
60,29,36,40
